description,dis,sNumber,sTag,servArea,incType,numInc,numStand,perMet,90Avg,q,rank,rankQ4
Emergency Incident,NORTH & WEST REGIONAL,70,FS70,Warrnambool,emInc,88,75,85.2,8.6,2,53,60
Incident Total,NORTH & WEST REGIONAL,70,FS70,Warrnambool,totInc,104,75,85.2,8.6,2,53,60
Non-Emergency Incident,NORTHERN,81,FS81,South Morang,nonInc,4,23,85.2,7.9,2,54,44
Emergency Incident,NORTHERN,81,FS81,South Morang,emInc,27,23,85.2,7.9,2,54,44
Incident Total,NORTHERN,81,FS81,South Morang,totInc,31,23,85.2,7.9,2,54,44
Non-Emergency Incident,SOUTHERN D1,34,FS34,Highett,nonInc,37,148,85.1,8,2,55,68
Emergency Incident,SOUTHERN D1,34,FS34,Highett,emInc,174,148,85.1,8,2,55,68
Incident Total,SOUTHERN D1,34,FS34,Highett,totInc,211,148,85.1,8,2,55,68
Non-Emergency Incident,NORTHERN,5,FS5,Broadmeadows,nonInc,42,182,85,8.5,2,56,69
Emergency Incident,NORTHERN,5,FS5,Broadmeadows,emInc,214,182,85,8.5,2,56,69
Incident Total,NORTHERN,5,FS5,Broadmeadows,totInc,256,182,85,8.5,2,56,69
Non-Emergency Incident,SOUTHERN D2,90,FS90,Patterson River,nonInc,11,59,84.3,9.1,2,57,75
Emergency Incident,SOUTHERN D2,90,FS90,Patterson River,emInc,70,59,84.3,9.1,2,57,75
Incident Total,SOUTHERN D2,90,FS90,Patterson River,totInc,81,59,84.3,9.1,2,57,75
Non-Emergency Incident,NORTH & WEST REGIONAL,71,FS71,Portland,nonInc,1,26,83.9,8.3,2,58,51
Emergency Incident,NORTH & WEST REGIONAL,71,FS71,Portland,emInc,31,26,83.9,8.3,2,58,51
Incident Total,NORTH & WEST REGIONAL,71,FS71,Portland,totInc,32,26,83.9,8.3,2,58,51
Non-Emergency Incident,SOUTHERN D1,32,FS32,Ormond,nonInc,49,181,83.8,8.5,2,59,62
Emergency Incident,SOUTHERN D1,32,FS32,Ormond,emInc,216,181,83.8,8.5,2,59,62
Incident Total,SOUTHERN D1,32,FS32,Ormond,totInc,265,181,83.8,8.5,2,59,62
Non-Emergency Incident,SOUTHERN D1,89,FS89,Springvale,nonInc,28,107,83.6,8.2,2,60,63
Emergency Incident,SOUTHERN D1,89,FS89,Springvale,emInc,128,107,83.6,8.2,2,60,63
Incident Total,SOUTHERN D1,89,FS89,Springvale,totInc,156,107,83.6,8.2,2,60,63
Non-Emergency Incident,NORTHERN,11,FS11,Epping,nonInc,13,91,83.5,8.5,2,61,23
Emergency Incident,NORTHERN,11,FS11,Epping,emInc,109,91,83.5,8.5,2,61,23
Incident Total,NORTHERN,11,FS11,Epping,totInc,122,91,83.5,8.5,2,61,23
Non-Emergency Incident,NORTH & WEST REGIONAL,73,FS73,Bendigo,nonInc,8,138,83.1,8.6,2,62,65
Emergency Incident,NORTH & WEST REGIONAL,73,FS73,Bendigo,emInc,166,138,83.1,8.6,2,62,65
Incident Total,NORTH & WEST REGIONAL,73,FS73,Bendigo,totInc,174,138,83.1,8.6,2,62,65
Non-Emergency Incident,WESTERN D1,46,FS46,Altona,nonInc,9,34,82.9,8.3,2,63,57
Emergency Incident,WESTERN D1,46,FS46,Altona,emInc,41,34,82.9,8.3,2,63,57
Incident Total,WESTERN D1,46,FS46,Altona,totInc,50,34,82.9,8.3,2,63,57
Non-Emergency Incident,WESTERN D2,48,FS48,Taylors Lakes,nonInc,13,38,82.6,8.5,2,64,49
Emergency Incident,WESTERN D2,48,FS48,Taylors Lakes,emInc,46,38,82.6,8.5,2,64,49
Incident Total,WESTERN D2,48,FS48,Taylors Lakes,totInc,59,38,82.6,8.5,2,64,49
Non-Emergency Incident,SOUTHERN D1,33,FS33,Mentone,nonInc,25,97,82.2,8.2,2,65,37
Emergency Incident,SOUTHERN D1,33,FS33,Mentone,emInc,118,97,82.2,8.2,2,65,37
Incident Total,SOUTHERN D1,33,FS33,Mentone,totInc,143,97,82.2,8.2,2,65,37
Non-Emergency Incident,WESTERN D1,45,FS45,Spotswood,nonInc,9,45,81.8,8.5,2,66,71
Emergency Incident,WESTERN D1,45,FS45,Spotswood,emInc,55,45,81.8,8.5,2,66,71
Incident Total,WESTERN D1,45,FS45,Spotswood,totInc,64,45,81.8,8.5,2,66,71
Non-Emergency Incident,EASTERN,82,FS82,Eltham City,nonInc,11,43,81.1,7.9,2,67,39
Emergency Incident,EASTERN,82,FS82,Eltham City,emInc,53,43,81.1,7.9,2,67,39
Incident Total,EASTERN,82,FS82,Eltham City,totInc,64,43,81.1,7.9,2,67,39
Non-Emergency Incident,NORTHERN,6,FS6,Pascoe Vale,nonInc,37,113,80.7,9,2,68,72
Emergency Incident,NORTHERN,6,FS6,Pascoe Vale,emInc,140,113,80.7,9,2,68,72
Incident Total,NORTHERN,6,FS6,Pascoe Vale,totInc,177,113,80.7,9,2,68,72
Non-Emergency Incident,EASTERN,84,FS84,South Warrandyte,nonInc,6,16,80,8.7,2,69,70
Emergency Incident,EASTERN,84,FS84,South Warrandyte,emInc,20,16,80,8.7,2,69,70
Incident Total,EASTERN,84,FS84,South Warrandyte,totInc,26,16,80,8.7,2,69,70
Non-Emergency Incident,WESTERN D2,51,FS51,Keilor,nonInc,24,70,79.5,8.6,2,70,36
Emergency Incident,WESTERN D2,51,FS51,Keilor,emInc,88,70,79.5,8.6,2,70,36
Incident Total,WESTERN D2,51,FS51,Keilor,totInc,112,70,79.5,8.6,2,70,36
Non-Emergency Incident,SOUTH & EAST REGIONAL,75,FS75,Shepparton,nonInc,5,124,79.5,10,2,71,41
Emergency Incident,SOUTH & EAST REGIONAL,75,FS75,Shepparton,emInc,156,124,79.5,10,2,71,41
Incident Total,SOUTH & EAST REGIONAL,75,FS75,Shepparton,totInc,161,124,79.5,10,2,71,41
Non-Emergency Incident,SOUTHERN D2,92,FS92,Cranbourne,nonInc,39,89,79.5,9.8,2,72,67
Emergency Incident,SOUTHERN D2,92,FS92,Cranbourne,emInc,112,89,79.5,9.8,2,72,67
Incident Total,SOUTHERN D2,92,FS92,Cranbourne,totInc,151,89,79.5,9.8,2,72,67
Non-Emergency Incident,SOUTH & EAST REGIONAL,76,FS76,Wodonga,nonInc,4,83,79,8.8,2,73,66
Emergency Incident,SOUTH & EAST REGIONAL,76,FS76,Wodonga,emInc,105,83,79,8.8,2,73,66
Incident Total,SOUTH & EAST REGIONAL,76,FS76,Wodonga,totInc,109,83,79,8.8,2,73,66
Non-Emergency Incident,NORTHERN,80,FS80,Craigieburn,nonInc,23,91,77.8,9.5,2,74,77
Emergency Incident,NORTHERN,80,FS80,Craigieburn,emInc,117,91,77.8,9.5,2,74,77
Incident Total,NORTHERN,80,FS80,Craigieburn,totInc,140,91,77.8,9.5,2,74,77
Non-Emergency Incident,SOUTHERN D2,88,FS88,Hallam,nonInc,53,115,77.7,9.3,2,75,55
Emergency Incident,SOUTHERN D2,88,FS88,Hallam,emInc,148,115,77.7,9.3,2,75,55
Incident Total,SOUTHERN D2,88,FS88,Hallam,totInc,201,115,77.7,9.3,2,75,55
Non-Emergency Incident,SOUTHERN D2,93,FS93,Pakenham,nonInc,12,82,77.4,8.6,2,76,58
Emergency Incident,SOUTHERN D2,93,FS93,Pakenham,emInc,106,82,77.4,8.6,2,76,58
Incident Total,SOUTHERN D2,93,FS93,Pakenham,totInc,118,82,77.4,8.6,2,76,58
Non-Emergency Incident,WESTERN D1,58,FS58,Point Cook,nonInc,5,58,76.3,9.6,2,77,79
Emergency Incident,WESTERN D1,58,FS58,Point Cook,emInc,76,58,76.3,9.6,2,77,79
Incident Total,WESTERN D1,58,FS58,Point Cook,totInc,81,58,76.3,9.6,2,77,79
Non-Emergency Incident,WESTERN D2,53,FS53,Sunbury,nonInc,8,60,75.9,9.9,2,78,76
Emergency Incident,WESTERN D2,53,FS53,Sunbury,emInc,79,60,75.9,9.9,2,78,76
Incident Total,WESTERN D2,53,FS53,Sunbury,totInc,87,60,75.9,9.9,2,78,76
Non-Emergency Incident,WESTERN D2,52,FS52,Tullamarine,nonInc,23,74,74.7,9.3,2,79,80
Emergency Incident,WESTERN D2,52,FS52,Tullamarine,emInc,99,74,74.7,9.3,2,79,80
Incident Total,WESTERN D2,52,FS52,Tullamarine,totInc,122,74,74.7,9.3,2,79,80
Non-Emergency Incident,WESTERN D2,56,FS56,Melton,nonInc,30,142,74.7,10,2,80,78
Emergency Incident,WESTERN D2,56,FS56,Melton,emInc,190,142,74.7,10,2,80,78
Incident Total,WESTERN D2,56,FS56,Melton,totInc,220,142,74.7,10,2,80,78
Non-Emergency Incident,WESTERN D1,59,FS59,Derrimut,nonInc,9,41,74.5,8.6,2,81,85
Emergency Incident,WESTERN D1,59,FS59,Derrimut,emInc,55,41,74.5,8.6,2,81,85
Incident Total,WESTERN D1,59,FS59,Derrimut,totInc,64,41,74.5,8.6,2,81,85
Non-Emergency Incident,WESTERN D2,54,FS54,Greenvale,nonInc,12,23,65.7,9.3,2,83,81
Emergency Incident,WESTERN D2,54,FS54,Greenvale,emInc,35,23,65.7,9.3,2,83,81
Incident Total,WESTERN D2,54,FS54,Greenvale,totInc,47,23,65.7,9.3,2,83,81
Non-Emergency Incident,WESTERN D1,57,FS57,Tarneit,nonInc,45,127,63.8,10.5,2,84,82
Emergency Incident,WESTERN D1,57,FS57,Tarneit,emInc,199,127,63.8,10.5,2,84,82
Incident Total,WESTERN D1,57,FS57,Tarneit,totInc,244,127,63.8,10.5,2,84,82
Non-Emergency Incident,WESTERN D2,55,FS55,Caroline Springs,nonInc,17,94,58,9.6,2,85,84
Emergency Incident,WESTERN D2,55,FS55,Caroline Springs,emInc,162,94,58,9.6,2,85,84
Incident Total,WESTERN D2,55,FS55,Caroline Springs,totInc,179,94,58,9.6,2,85,84
Non-Emergency Incident,WESTERN D3,61,FS61,Lara,nonInc,7,25,49,11.3,2,86,83
Emergency Incident,WESTERN D3,61,FS61,Lara,emInc,51,25,49,11.3,2,86,83
Incident Total,WESTERN D3,61,FS61,Lara,totInc,58,25,49,11.3,2,86,83
Non-Emergency Incident,WESTERN D3,66,FS66,Ocean Grove,nonInc,1,23,100,5.87,3,1,1
Emergency Incident,WESTERN D3,66,FS66,Ocean Grove,emInc,23,23,100,5.87,3,1,1
Incident Total,WESTERN D3,66,FS66,Ocean Grove,totInc,24,23,100,5.87,3,1,1
Non-Emergency Incident,NORTH & WEST REGIONAL,67,FS67,Ballarat City,nonInc,8,74,100,5.48,3,2,4
Emergency Incident,NORTH & WEST REGIONAL,67,FS67,Ballarat City,emInc,74,74,100,5.48,3,2,4
Incident Total,NORTH & WEST REGIONAL,67,FS67,Ballarat City,totInc,82,74,100,5.48,3,2,4
Non-Emergency Incident,NORTH & WEST REGIONAL,68,FS68,Lucas,nonInc,4,44,100,6.83,3,3,50
Emergency Incident,NORTH & WEST REGIONAL,68,FS68,Lucas,emInc,44,44,100,6.83,3,3,50
Incident Total,NORTH & WEST REGIONAL,68,FS68,Lucas,totInc,48,44,100,6.83,3,3,50
Non-Emergency Incident,CENTRAL,1,FS1,Eastern Hill,nonInc,15,350,97.5,5.5,3,4,2
Emergency Incident,CENTRAL,1,FS1,Eastern Hill,emInc,359,350,97.5,5.5,3,4,2
Incident Total,CENTRAL,1,FS1,Eastern Hill,totInc,374,350,97.5,5.5,3,4,2
Non-Emergency Incident,CENTRAL,3,FS3,Carlton,nonInc,19,319,96.7,6.27,3,5,3
Emergency Incident,CENTRAL,3,FS3,Carlton,emInc,330,319,96.7,6.27,3,5,3
Incident Total,CENTRAL,3,FS3,Carlton,totInc,349,319,96.7,6.27,3,5,3
Non-Emergency Incident,WESTERN D3,64,FS64,Belmont,nonInc,24,87,96.7,7.05,3,6,27
Emergency Incident,WESTERN D3,64,FS64,Belmont,emInc,90,87,96.7,7.05,3,6,27
Incident Total,WESTERN D3,64,FS64,Belmont,totInc,114,87,96.7,7.05,3,6,27
Non-Emergency Incident,CENTRAL,38,FS38,South Melbourne,nonInc,17,337,96.6,6.48,3,7,14
Emergency Incident,CENTRAL,38,FS38,South Melbourne,emInc,349,337,96.6,6.48,3,7,14
Incident Total,CENTRAL,38,FS38,South Melbourne,totInc,366,337,96.6,6.48,3,7,14
Non-Emergency Incident,CENTRAL,10,FS10,Richmond,nonInc,14,238,95.6,6.7,3,8,16
Emergency Incident,CENTRAL,10,FS10,Richmond,emInc,249,238,95.6,6.7,3,8,16
Incident Total,CENTRAL,10,FS10,Richmond,totInc,263,238,95.6,6.7,3,8,16
Non-Emergency Incident,NORTHERN,16,FS16,Greensborough,nonInc,15,65,95.6,7.55,3,9,31
Emergency Incident,NORTHERN,16,FS16,Greensborough,emInc,68,65,95.6,7.55,3,9,31
Incident Total,NORTHERN,16,FS16,Greensborough,totInc,83,65,95.6,7.55,3,9,31
Non-Emergency Incident,SOUTH & EAST REGIONAL,77,FS77,Traralgon,nonInc,5,63,95.5,7.28,3,10,52
Emergency Incident,SOUTH & EAST REGIONAL,77,FS77,Traralgon,emInc,66,63,95.5,7.28,3,10,52
Incident Total,SOUTH & EAST REGIONAL,77,FS77,Traralgon,totInc,71,63,95.5,7.28,3,10,52
Non-Emergency Incident,NORTH & WEST REGIONAL,71,FS71,Portland,nonInc,4,20,95.2,7.05,3,11,51
Emergency Incident,NORTH & WEST REGIONAL,71,FS71,Portland,emInc,21,20,95.2,7.05,3,11,51
Incident Total,NORTH & WEST REGIONAL,71,FS71,Portland,totInc,25,20,95.2,7.05,3,11,51
Non-Emergency Incident,WESTERN D1,47,FS47,Footscray,nonInc,30,172,95,7,3,12,35
Emergency Incident,WESTERN D1,47,FS47,Footscray,emInc,181,172,95,7,3,12,35
Incident Total,WESTERN D1,47,FS47,Footscray,totInc,211,172,95,7,3,12,35
Non-Emergency Incident,SOUTHERN D1,86,FS86,Rowville,nonInc,14,37,94.9,6.7,3,13,21
Emergency Incident,SOUTHERN D1,86,FS86,Rowville,emInc,39,37,94.9,6.7,3,13,21
Incident Total,SOUTHERN D1,86,FS86,Rowville,totInc,53,37,94.9,6.7,3,13,21
Non-Emergency Incident,EASTERN,28,FS28,Vermont South,nonInc,20,72,94.7,7.05,3,14,19
Emergency Incident,EASTERN,28,FS28,Vermont South,emInc,76,72,94.7,7.05,3,14,19
Incident Total,EASTERN,28,FS28,Vermont South,totInc,96,72,94.7,7.05,3,14,19
Non-Emergency Incident,CENTRAL,39,FS39,Port Melbourne,nonInc,9,107,94.7,7.13,3,15,32
Emergency Incident,CENTRAL,39,FS39,Port Melbourne,emInc,113,107,94.7,7.13,3,15,32
Incident Total,CENTRAL,39,FS39,Port Melbourne,totInc,122,107,94.7,7.13,3,15,32
Non-Emergency Incident,EASTERN,23,FS23,Burwood,nonInc,20,113,94.2,7.08,3,16,5
Emergency Incident,EASTERN,23,FS23,Burwood,emInc,120,113,94.2,7.08,3,16,5
Incident Total,EASTERN,23,FS23,Burwood,totInc,140,113,94.2,7.08,3,16,5
Non-Emergency Incident,NORTHERN,81,FS81,South Morang,nonInc,6,48,94.1,7.67,3,17,44
Emergency Incident,NORTHERN,81,FS81,South Morang,emInc,51,48,94.1,7.67,3,17,44
Incident Total,NORTHERN,81,FS81,South Morang,totInc,57,48,94.1,7.67,3,17,44
Non-Emergency Incident,WESTERN D2,44,FS44,Sunshine,nonInc,35,168,93.9,7.5,3,18,24
Emergency Incident,WESTERN D2,44,FS44,Sunshine,emInc,179,168,93.9,7.5,3,18,24
Incident Total,WESTERN D2,44,FS44,Sunshine,totInc,214,168,93.9,7.5,3,18,24
Non-Emergency Incident,CENTRAL,2,FS2,West Melbourne,nonInc,29,262,93.6,6.57,3,19,7
Emergency Incident,CENTRAL,2,FS2,West Melbourne,emInc,280,262,93.6,6.57,3,19,7
Incident Total,CENTRAL,2,FS2,West Melbourne,totInc,309,262,93.6,6.57,3,19,7
Non-Emergency Incident,NORTHERN,12,FS12,Preston,nonInc,19,130,93.5,7.23,3,20,12
Emergency Incident,NORTHERN,12,FS12,Preston,emInc,139,130,93.5,7.23,3,20,12
Incident Total,NORTHERN,12,FS12,Preston,totInc,158,130,93.5,7.23,3,20,12
Non-Emergency Incident,SOUTH & EAST REGIONAL,78,FS78,Morwell,nonInc,9,70,93.3,6.77,3,21,15
Emergency Incident,SOUTH & EAST REGIONAL,78,FS78,Morwell,emInc,75,70,93.3,6.77,3,21,15
Incident Total,SOUTH & EAST REGIONAL,78,FS78,Morwell,totInc,84,70,93.3,6.77,3,21,15
Non-Emergency Incident,CENTRAL,4,FS4,Brunswick,nonInc,27,164,93.2,7.32,3,22,17
Emergency Incident,CENTRAL,4,FS4,Brunswick,emInc,176,164,93.2,7.32,3,22,17
Incident Total,CENTRAL,4,FS4,Brunswick,totInc,203,164,93.2,7.32,3,22,17
Non-Emergency Incident,EASTERN,26,FS26,Croydon,nonInc,24,106,93,7.13,3,23,11
Emergency Incident,EASTERN,26,FS26,Croydon,emInc,114,106,93,7.13,3,23,11
Incident Total,EASTERN,26,FS26,Croydon,totInc,138,106,93,7.13,3,23,11
Non-Emergency Incident,SOUTH & EAST REGIONAL,74,FS74,Wangaratta,nonInc,9,64,92.8,7.52,3,24,38
Emergency Incident,SOUTH & EAST REGIONAL,74,FS74,Wangaratta,emInc,69,64,92.8,7.52,3,24,38
Incident Total,SOUTH & EAST REGIONAL,74,FS74,Wangaratta,totInc,78,64,92.8,7.52,3,24,38
Non-Emergency Incident,CENTRAL,35,FS35,Windsor,nonInc,52,375,92.1,7.23,3,25,34
Emergency Incident,CENTRAL,35,FS35,Windsor,emInc,407,375,92.1,7.23,3,25,34
Incident Total,CENTRAL,35,FS35,Windsor,totInc,459,375,92.1,7.23,3,25,34
Non-Emergency Incident,WESTERN D3,63,FS63,Geelong City,nonInc,18,135,91.8,7.6,3,26,9
Emergency Incident,WESTERN D3,63,FS63,Geelong City,emInc,147,135,91.8,7.6,3,26,9
Incident Total,WESTERN D3,63,FS63,Geelong City,totInc,165,135,91.8,7.6,3,26,9
Non-Emergency Incident,SOUTHERN D1,31,FS31,Glen Waverley,nonInc,21,187,91.7,7.67,3,27,54
Emergency Incident,SOUTHERN D1,31,FS31,Glen Waverley,emInc,204,187,91.7,7.67,3,27,54
Incident Total,SOUTHERN D1,31,FS31,Glen Waverley,totInc,225,187,91.7,7.67,3,27,54
Non-Emergency Incident,NORTH & WEST REGIONAL,73,FS73,Bendigo,nonInc,6,133,91.7,7.7,3,28,65
Emergency Incident,NORTH & WEST REGIONAL,73,FS73,Bendigo,emInc,145,133,91.7,7.7,3,28,65
Incident Total,NORTH & WEST REGIONAL,73,FS73,Bendigo,totInc,151,133,91.7,7.7,3,28,65
Non-Emergency Incident,EASTERN,27,FS27,Nunawading,nonInc,15,96,91.4,7.55,3,29,18
Emergency Incident,EASTERN,27,FS27,Nunawading,emInc,105,96,91.4,7.55,3,29,18
Incident Total,EASTERN,27,FS27,Nunawading,totInc,120,96,91.4,7.55,3,29,18
Non-Emergency Incident,EASTERN,20,FS20,Box Hill,nonInc,21,126,91.3,7.63,3,30,10
Emergency Incident,EASTERN,20,FS20,Box Hill,emInc,138,126,91.3,7.63,3,30,10
Incident Total,EASTERN,20,FS20,Box Hill,totInc,159,126,91.3,7.63,3,30,10
Non-Emergency Incident,NORTHERN,14,FS14,Bundoora,nonInc,20,100,90.9,7.8,3,31,46
Emergency Incident,NORTHERN,14,FS14,Bundoora,emInc,110,100,90.9,7.8,3,31,46
Incident Total,NORTHERN,14,FS14,Bundoora,totInc,130,100,90.9,7.8,3,31,46
Non-Emergency Incident,EASTERN,22,FS22,Ringwood,nonInc,11,97,90.7,7.97,3,32,22
Emergency Incident,EASTERN,22,FS22,Ringwood,emInc,107,97,90.7,7.97,3,32,22
Incident Total,EASTERN,22,FS22,Ringwood,totInc,118,97,90.7,7.97,3,32,22
Non-Emergency Incident,SOUTHERN D1,25,FS25,Oakleigh,nonInc,21,115,90.6,7.62,3,33,29
Emergency Incident,SOUTHERN D1,25,FS25,Oakleigh,emInc,127,115,90.6,7.62,3,33,29
Incident Total,SOUTHERN D1,25,FS25,Oakleigh,totInc,148,115,90.6,7.62,3,33,29
Non-Emergency Incident,SOUTHERN D1,33,FS33,Mentone,nonInc,30,87,90.6,8.08,3,34,37
Emergency Incident,SOUTHERN D1,33,FS33,Mentone,emInc,96,87,90.6,8.08,3,34,37
Incident Total,SOUTHERN D1,33,FS33,Mentone,totInc,126,87,90.6,8.08,3,34,37
Non-Emergency Incident,NORTHERN,6,FS6,Pascoe Vale,nonInc,27,90,90,8.4,3,35,72
Emergency Incident,NORTHERN,6,FS6,Pascoe Vale,emInc,100,90,90,8.4,3,35,72
Incident Total,NORTHERN,6,FS6,Pascoe Vale,totInc,127,90,90,8.4,3,35,72
Non-Emergency Incident,SOUTHERN D2,94,FS94,Mornington,nonInc,11,62,89.9,7.95,3,36,25
Emergency Incident,SOUTHERN D2,94,FS94,Mornington,emInc,69,62,89.9,7.95,3,36,25
Incident Total,SOUTHERN D2,94,FS94,Mornington,totInc,80,62,89.9,7.95,3,36,25
Non-Emergency Incident,SOUTHERN D2,95,FS95,Rosebud,nonInc,10,44,89.8,7.68,3,37,6
Emergency Incident,SOUTHERN D2,95,FS95,Rosebud,emInc,49,44,89.8,7.68,3,37,6
Incident Total,SOUTHERN D2,95,FS95,Rosebud,totInc,59,44,89.8,7.68,3,37,6
Non-Emergency Incident,SOUTHERN D1,29,FS29,Clayton,nonInc,20,104,89.7,7.88,3,38,8
Emergency Incident,SOUTHERN D1,29,FS29,Clayton,emInc,116,104,89.7,7.88,3,38,8
Incident Total,SOUTHERN D1,29,FS29,Clayton,totInc,136,104,89.7,7.88,3,38,8
Non-Emergency Incident,WESTERN D1,42,FS42,Newport,nonInc,4,68,89.5,7.72,3,39,43
Emergency Incident,WESTERN D1,42,FS42,Newport,emInc,76,68,89.5,7.72,3,39,43
Incident Total,WESTERN D1,42,FS42,Newport,totInc,80,68,89.5,7.72,3,39,43
Non-Emergency Incident,NORTHERN,15,FS15,Heidelberg,nonInc,25,155,89.1,7.98,3,40,42
Emergency Incident,NORTHERN,15,FS15,Heidelberg,emInc,174,155,89.1,7.98,3,40,42
Incident Total,NORTHERN,15,FS15,Heidelberg,totInc,199,155,89.1,7.98,3,40,42
Non-Emergency Incident,WESTERN D2,53,FS53,Sunbury,nonInc,12,56,88.9,8.15,3,41,76
Emergency Incident,WESTERN D2,53,FS53,Sunbury,emInc,63,56,88.9,8.15,3,41,76
Incident Total,WESTERN D2,53,FS53,Sunbury,totInc,75,56,88.9,8.15,3,41,76
Non-Emergency Incident,WESTERN D2,43,FS43,Deer Park,nonInc,18,85,88.5,8.03,3,42,73
Emergency Incident,WESTERN D2,43,FS43,Deer Park,emInc,96,85,88.5,8.03,3,42,73
Incident Total,WESTERN D2,43,FS43,Deer Park,totInc,114,85,88.5,8.03,3,42,73
Non-Emergency Incident,CENTRAL,50,FS50,Ascot Vale,nonInc,25,145,88.4,7.88,3,43,48
Emergency Incident,CENTRAL,50,FS50,Ascot Vale,emInc,164,145,88.4,7.88,3,43,48
Incident Total,CENTRAL,50,FS50,Ascot Vale,totInc,189,145,88.4,7.88,3,43,48
Non-Emergency Incident,SOUTHERN D1,32,FS32,Ormond,nonInc,35,148,88.1,7.83,3,44,62
Emergency Incident,SOUTHERN D1,32,FS32,Ormond,emInc,168,148,88.1,7.83,3,44,62
Incident Total,SOUTHERN D1,32,FS32,Ormond,totInc,203,148,88.1,7.83,3,44,62
Non-Emergency Incident,WESTERN D2,48,FS48,Taylors Lakes,nonInc,8,37,88.1,7.43,3,45,49
Emergency Incident,WESTERN D2,48,FS48,Taylors Lakes,emInc,42,37,88.1,7.43,3,45,49
Incident Total,WESTERN D2,48,FS48,Taylors Lakes,totInc,50,37,88.1,7.43,3,45,49
Non-Emergency Incident,EASTERN,85,FS85,Boronia,nonInc,16,52,88.1,7.92,3,46,28
Emergency Incident,EASTERN,85,FS85,Boronia,emInc,59,52,88.1,7.92,3,46,28
Incident Total,EASTERN,85,FS85,Boronia,totInc,75,52,88.1,7.92,3,46,28
Non-Emergency Incident,SOUTHERN D2,91,FS91,Frankston,nonInc,26,162,88,8.18,3,47,26
Emergency Incident,SOUTHERN D2,91,FS91,Frankston,emInc,184,162,88,8.18,3,47,26
Incident Total,SOUTHERN D2,91,FS91,Frankston,totInc,210,162,88,8.18,3,47,26
Non-Emergency Incident,CENTRAL,18,FS18,Hawthorn,nonInc,24,148,87.6,7.87,3,48,47
Emergency Incident,CENTRAL,18,FS18,Hawthorn,emInc,169,148,87.6,7.87,3,48,47
Incident Total,CENTRAL,18,FS18,Hawthorn,totInc,193,148,87.6,7.87,3,48,47
Non-Emergency Incident,EASTERN,19,FS19,North Balwyn,nonInc,20,90,87.4,8.28,3,49,61
Emergency Incident,EASTERN,19,FS19,North Balwyn,emInc,103,90,87.4,8.28,3,49,61
Incident Total,EASTERN,19,FS19,North Balwyn,totInc,123,90,87.4,8.28,3,49,61
Non-Emergency Incident,WESTERN D2,41,FS41,St Albans,nonInc,27,90,87.4,8.22,3,50,13
Emergency Incident,WESTERN D2,41,FS41,St Albans,emInc,103,90,87.4,8.22,3,50,13
Incident Total,WESTERN D2,41,FS41,St Albans,totInc,130,90,87.4,8.22,3,50,13
Non-Emergency Incident,NORTH & WEST REGIONAL,72,FS72,Mildura,nonInc,10,82,87.2,8.57,3,51,33
Emergency Incident,NORTH & WEST REGIONAL,72,FS72,Mildura,emInc,94,82,87.2,8.57,3,51,33
Incident Total,NORTH & WEST REGIONAL,72,FS72,Mildura,totInc,104,82,87.2,8.57,3,51,33
Non-Emergency Incident,NORTHERN,9,FS9,Somerton,nonInc,12,40,87,7.95,3,52,20
Emergency Incident,NORTHERN,9,FS9,Somerton,emInc,46,40,87,7.95,3,52,20
Incident Total,NORTHERN,9,FS9,Somerton,totInc,58,40,87,7.95,3,52,20
Non-Emergency Incident,CENTRAL,13,FS13,Northcote,nonInc,29,103,86.6,7.95,3,53,59
Emergency Incident,CENTRAL,13,FS13,Northcote,emInc,119,103,86.6,7.95,3,53,59
Incident Total,CENTRAL,13,FS13,Northcote,totInc,148,103,86.6,7.95,3,53,59
Non-Emergency Incident,NORTHERN,7,FS7,Thomastown,nonInc,18,90,86.5,8.02,3,54,45
Emergency Incident,NORTHERN,7,FS7,Thomastown,emInc,104,90,86.5,8.02,3,54,45
Incident Total,NORTHERN,7,FS7,Thomastown,totInc,122,90,86.5,8.02,3,54,45
Non-Emergency Incident,SOUTHERN D2,87,FS87,Dandenong,nonInc,50,182,86.3,8.48,3,55,56
Emergency Incident,SOUTHERN D2,87,FS87,Dandenong,emInc,211,182,86.3,8.48,3,55,56
Incident Total,SOUTHERN D2,87,FS87,Dandenong,totInc,261,182,86.3,8.48,3,55,56
Non-Emergency Incident,NORTHERN,80,FS80,Craigieburn,nonInc,37,80,86,8.32,3,56,77
Emergency Incident,NORTHERN,80,FS80,Craigieburn,emInc,93,80,86,8.32,3,56,77
Incident Total,NORTHERN,80,FS80,Craigieburn,totInc,130,80,86,8.32,3,56,77
Non-Emergency Incident,NORTHERN,5,FS5,Broadmeadows,nonInc,42,171,85.9,8.68,3,57,69
Emergency Incident,NORTHERN,5,FS5,Broadmeadows,emInc,199,171,85.9,8.68,3,57,69
Incident Total,NORTHERN,5,FS5,Broadmeadows,totInc,241,171,85.9,8.68,3,57,69
Non-Emergency Incident,NORTH & WEST REGIONAL,70,FS70,Warrnambool,nonInc,10,76,85.4,8.17,3,58,60
Emergency Incident,NORTH & WEST REGIONAL,70,FS70,Warrnambool,emInc,89,76,85.4,8.17,3,58,60
Incident Total,NORTH & WEST REGIONAL,70,FS70,Warrnambool,totInc,99,76,85.4,8.17,3,58,60
