dis,sNumber,sTag,servArea,incType,numInc,numStand,perMet,90Avg,q,rank,rankQ4
CENTRAL,2,FS2,West Melbourne,emInc,361,343,95,6.8,1,13,7
WESTERN D3,66,FS66,Ocean Grove,nonInc,1,19,95,6.1,1,14,1
WESTERN D3,66,FS66,Ocean Grove,emInc,20,19,95,6.1,1,14,1
EASTERN,22,FS22,Ringwood,nonInc,11,131,94.9,7.2,1,15,22
EASTERN,22,FS22,Ringwood,emInc,138,131,94.9,7.2,1,15,22
SOUTHERN D1,25,FS25,Oakleigh,nonInc,23,146,94.8,7.3,1,16,29
SOUTHERN D1,25,FS25,Oakleigh,emInc,154,146,94.8,7.3,1,16,29
SOUTHERN D2,94,FS94,Mornington,nonInc,8,72,94.7,7.3,1,17,25
SOUTHERN D2,94,FS94,Mornington,emInc,76,72,94.7,7.3,1,17,25
EASTERN,26,FS26,Croydon,nonInc,19,118,94.4,7.3,1,18,11
EASTERN,26,FS26,Croydon,emInc,125,118,94.4,7.3,1,18,11
WESTERN D2,44,FS44,Sunshine,nonInc,13,193,94.1,7.3,1,19,24
WESTERN D2,44,FS44,Sunshine,emInc,205,193,94.1,7.3,1,19,24
WESTERN D1,42,FS42,Newport,nonInc,7,74,93.7,7.5,1,20,43
WESTERN D1,42,FS42,Newport,emInc,79,74,93.7,7.5,1,20,43
NORTH & WEST REGIONAL,73,FS73,Bendigo,nonInc,12,177,93.7,7.4,1,21,65
NORTH & WEST REGIONAL,73,FS73,Bendigo,emInc,189,177,93.7,7.4,1,21,65
NORTHERN,14,FS14,Bundoora,nonInc,9,170,93.4,7.4,1,22,46
NORTHERN,14,FS14,Bundoora,emInc,182,170,93.4,7.4,1,22,46
WESTERN D1,47,FS47,Footscray,nonInc,16,173,93,7.5,1,23,35
WESTERN D1,47,FS47,Footscray,emInc,186,173,93,7.5,1,23,35
NORTHERN,7,FS7,Thomastown,nonInc,19,124,92.5,7.7,1,24,45
NORTHERN,7,FS7,Thomastown,emInc,134,124,92.5,7.7,1,24,45
EASTERN,23,FS23,Burwood,nonInc,21,142,92.2,7.6,1,25,5
EASTERN,23,FS23,Burwood,emInc,154,142,92.2,7.6,1,25,5
SOUTH & EAST REGIONAL,77,FS77,Traralgon,nonInc,4,82,92.1,7.1,1,26,52
