dis,sNumber,sTag,servArea,incType,numInc,numStand,perMet,90Avg,q,rank,rankQ4
SOUTHERN D2,94,FS94,Mornington,nonInc,16,67,90.5,7.53,4,25,25
SOUTHERN D2,94,FS94,Mornington,emInc,74,67,90.5,7.53,4,25,25
SOUTHERN D2,91,FS91,Frankston,nonInc,45,217,90.4,8.22,4,26,26
SOUTHERN D2,91,FS91,Frankston,emInc,240,217,90.4,8.22,4,26,26
WESTERN D3,64,FS64,Belmont,nonInc,21,84,90.3,7.6,4,27,27
WESTERN D3,64,FS64,Belmont,emInc,93,84,90.3,7.6,4,27,27
EASTERN,85,FS85,Boronia,nonInc,15,74,90.2,7.18,4,28,28
EASTERN,85,FS85,Boronia,emInc,82,74,90.2,7.18,4,28,28
SOUTHERN D1,25,FS25,Oakleigh,nonInc,32,145,90.1,7.75,4,29,29
SOUTHERN D1,25,FS25,Oakleigh,emInc,161,145,90.1,7.75,4,29,29
SOUTHERN D1,24,FS24,Malvern,nonInc,31,141,89.2,8.13,4,30,30
SOUTHERN D1,24,FS24,Malvern,emInc,158,141,89.2,8.13,4,30,30
NORTHERN,16,FS16,Greensborough,nonInc,29,73,89,7.62,4,31,31
NORTHERN,16,FS16,Greensborough,emInc,82,73,89,7.62,4,31,31
CENTRAL,39,FS39,Port Melbourne,nonInc,18,125,88.7,7.78,4,32,32
CENTRAL,39,FS39,Port Melbourne,emInc,141,125,88.7,7.78,4,32,32
NORTH & WEST REGIONAL,72,FS72,Mildura,nonInc,20,94,88.7,7.9,4,33,33
NORTH & WEST REGIONAL,72,FS72,Mildura,emInc,106,94,88.7,7.9,4,33,33
CENTRAL,35,FS35,Windsor,nonInc,54,417,88.3,7.95,4,34,34
CENTRAL,35,FS35,Windsor,emInc,472,417,88.3,7.95,4,34,34
WESTERN D1,47,FS47,Footscray,nonInc,38,196,88.3,8.2,4,35,35
WESTERN D1,47,FS47,Footscray,emInc,222,196,88.3,8.2,4,35,35
WESTERN D2,51,FS51,Keilor,nonInc,40,90,88.2,7.95,4,36,36
WESTERN D2,51,FS51,Keilor,emInc,102,90,88.2,7.95,4,36,36
SOUTHERN D1,33,FS33,Mentone,nonInc,40,111,88.1,7.9,4,37,37
SOUTHERN D1,33,FS33,Mentone,emInc,126,111,88.1,7.9,4,37,37
SOUTH & EAST REGIONAL,74,FS74,Wangaratta,nonInc,6,52,88.1,7.97,4,38,38
SOUTH & EAST REGIONAL,74,FS74,Wangaratta,emInc,59,52,88.1,7.97,4,38,38
EASTERN,82,FS82,Eltham City,nonInc,28,59,88.1,8.2,4,39,39
EASTERN,82,FS82,Eltham City,emInc,67,59,88.1,8.2,4,39,39
EASTERN,30,FS30,Templestowe,nonInc,19,64,87.7,7.73,4,40,40
EASTERN,30,FS30,Templestowe,emInc,73,64,87.7,7.73,4,40,40
SOUTH & EAST REGIONAL,75,FS75,Shepparton,nonInc,8,135,87.7,8.22,4,41,41
SOUTH & EAST REGIONAL,75,FS75,Shepparton,emInc,154,135,87.7,8.22,4,41,41
NORTHERN,15,FS15,Heidelberg,nonInc,46,196,87.5,8.25,4,42,42
NORTHERN,15,FS15,Heidelberg,emInc,224,196,87.5,8.25,4,42,42
WESTERN D1,42,FS42,Newport,nonInc,16,97,87.4,7.97,4,43,43
WESTERN D1,42,FS42,Newport,emInc,111,97,87.4,7.97,4,43,43
NORTHERN,81,FS81,South Morang,nonInc,5,55,87.3,7.82,4,44,44
NORTHERN,81,FS81,South Morang,emInc,63,55,87.3,7.82,4,44,44
NORTHERN,7,FS7,Thomastown,nonInc,45,100,87,8.07,4,45,45
NORTHERN,7,FS7,Thomastown,emInc,115,100,87,8.07,4,45,45
NORTHERN,14,FS14,Bundoora,nonInc,30,125,86.8,7.82,4,46,46
NORTHERN,14,FS14,Bundoora,emInc,144,125,86.8,7.82,4,46,46
CENTRAL,18,FS18,Hawthorn,nonInc,45,165,86.4,8.13,4,47,47
CENTRAL,18,FS18,Hawthorn,emInc,191,165,86.4,8.13,4,47,47
CENTRAL,50,FS50,Ascot Vale,nonInc,26,196,85.6,8.4,4,48,48
CENTRAL,50,FS50,Ascot Vale,emInc,229,196,85.6,8.4,4,48,48
WESTERN D2,48,FS48,Taylors Lakes,nonInc,13,52,85.2,8.47,4,49,49
WESTERN D2,48,FS48,Taylors Lakes,emInc,61,52,85.2,8.47,4,49,49
NORTH & WEST REGIONAL,68,FS68,Lucas,nonInc,7,46,85.2,8.15,4,50,50
NORTH & WEST REGIONAL,68,FS68,Lucas,emInc,54,46,85.2,8.15,4,50,50
NORTH & WEST REGIONAL,71,FS71,Portland,nonInc,4,23,85.2,8.05,4,51,51
NORTH & WEST REGIONAL,71,FS71,Portland,emInc,27,23,85.2,8.05,4,51,51
SOUTH & EAST REGIONAL,77,FS77,Traralgon,nonInc,11,62,84.9,8.4,4,52,52
SOUTH & EAST REGIONAL,77,FS77,Traralgon,emInc,73,62,84.9,8.4,4,52,52
SOUTH & EAST REGIONAL,79,FS79,Latrobe West,nonInc,9,45,84.9,8.17,4,53,53
SOUTH & EAST REGIONAL,79,FS79,Latrobe West,emInc,53,45,84.9,8.17,4,53,53
SOUTHERN D1,31,FS31,Glen Waverley,nonInc,37,207,84.8,8.38,4,54,54
SOUTHERN D1,31,FS31,Glen Waverley,emInc,244,207,84.8,8.38,4,54,54
SOUTHERN D2,88,FS88,Hallam,nonInc,45,120,82.8,8.87,4,55,55
SOUTHERN D2,88,FS88,Hallam,emInc,145,120,82.8,8.87,4,55,55
SOUTHERN D2,87,FS87,Dandenong,nonInc,55,200,82.6,8.83,4,56,56
SOUTHERN D2,87,FS87,Dandenong,emInc,242,200,82.6,8.83,4,56,56
WESTERN D1,46,FS46,Altona,nonInc,12,28,82.4,7.83,4,57,57
WESTERN D1,46,FS46,Altona,emInc,34,28,82.4,7.83,4,57,57
SOUTHERN D2,93,FS93,Pakenham,nonInc,17,70,82.4,9.75,4,58,58
SOUTHERN D2,93,FS93,Pakenham,emInc,85,70,82.4,9.75,4,58,58
CENTRAL,13,FS13,Northcote,nonInc,41,116,82.3,8.58,4,59,59
CENTRAL,13,FS13,Northcote,emInc,141,116,82.3,8.58,4,59,59
NORTH & WEST REGIONAL,70,FS70,Warrnambool,nonInc,14,74,82.2,8.7,4,60,60
NORTH & WEST REGIONAL,70,FS70,Warrnambool,emInc,90,74,82.2,8.7,4,60,60
EASTERN,19,FS19,North Balwyn,nonInc,25,100,82,9.2,4,61,61
EASTERN,19,FS19,North Balwyn,emInc,122,100,82,9.2,4,61,61
SOUTHERN D1,32,FS32,Ormond,nonInc,44,169,82,8.6,4,62,62
SOUTHERN D1,32,FS32,Ormond,emInc,206,169,82,8.6,4,62,62
SOUTHERN D1,89,FS89,Springvale,nonInc,45,128,81.5,8.62,4,63,63
SOUTHERN D1,89,FS89,Springvale,emInc,157,128,81.5,8.62,4,63,63
WESTERN D3,62,FS62,Corio,nonInc,42,134,81.2,8.13,4,64,64
WESTERN D3,62,FS62,Corio,emInc,165,134,81.2,8.13,4,64,64
NORTH & WEST REGIONAL,73,FS73,Bendigo,nonInc,26,152,80.9,8.57,4,65,65
NORTH & WEST REGIONAL,73,FS73,Bendigo,emInc,188,152,80.9,8.57,4,65,65
SOUTH & EAST REGIONAL,76,FS76,Wodonga,nonInc,16,80,80.8,8.45,4,66,66
SOUTH & EAST REGIONAL,76,FS76,Wodonga,emInc,99,80,80.8,8.45,4,66,66
SOUTHERN D2,92,FS92,Cranbourne,nonInc,53,143,80.8,9.08,4,67,67
SOUTHERN D2,92,FS92,Cranbourne,emInc,177,143,80.8,9.08,4,67,67
SOUTHERN D1,34,FS34,Highett,nonInc,50,149,80.5,8.37,4,68,68
SOUTHERN D1,34,FS34,Highett,emInc,185,149,80.5,8.37,4,68,68
NORTHERN,5,FS5,Broadmeadows,nonInc,54,165,80.1,8.57,4,69,69
NORTHERN,5,FS5,Broadmeadows,emInc,206,165,80.1,8.57,4,69,69
EASTERN,84,FS84,South Warrandyte,nonInc,11,20,80,8.42,4,70,70
EASTERN,84,FS84,South Warrandyte,emInc,25,20,80,8.42,4,70,70
WESTERN D1,45,FS45,Spotswood,nonInc,43,92,79.3,8.8,4,71,71
WESTERN D1,45,FS45,Spotswood,emInc,116,92,79.3,8.8,4,71,71
NORTHERN,6,FS6,Pascoe Vale,nonInc,35,102,79.1,9.2,4,72,72
NORTHERN,6,FS6,Pascoe Vale,emInc,129,102,79.1,9.2,4,72,72
WESTERN D2,43,FS43,Deer Park,nonInc,26,91,79.1,8.82,4,73,73
WESTERN D2,43,FS43,Deer Park,emInc,115,91,79.1,8.82,4,73,73
WESTERN D1,40,FS40,Laverton,nonInc,21,56,78.9,8.87,4,74,74
WESTERN D1,40,FS40,Laverton,emInc,71,56,78.9,8.87,4,74,74
SOUTHERN D2,90,FS90,Patterson River,nonInc,20,57,77,9.68,4,75,75
SOUTHERN D2,90,FS90,Patterson River,emInc,74,57,77,9.68,4,75,75
WESTERN D2,53,FS53,Sunbury,nonInc,15,59,76.6,9.18,4,76,76
WESTERN D2,53,FS53,Sunbury,emInc,77,59,76.6,9.18,4,76,76
NORTHERN,80,FS80,Craigieburn,nonInc,38,91,75.8,9.4,4,77,77
NORTHERN,80,FS80,Craigieburn,emInc,120,91,75.8,9.4,4,77,77
WESTERN D2,56,FS56,Melton,nonInc,37,158,75.6,9.5,4,78,78
WESTERN D2,56,FS56,Melton,emInc,209,158,75.6,9.5,4,78,78
WESTERN D1,58,FS58,Point Cook,nonInc,20,96,75.6,10.47,4,79,79
WESTERN D1,58,FS58,Point Cook,emInc,127,96,75.6,10.47,4,79,79
WESTERN D2,52,FS52,Tullamarine,nonInc,20,75,72.8,9.48,4,80,80
WESTERN D2,52,FS52,Tullamarine,emInc,103,75,72.8,9.48,4,80,80
WESTERN D2,54,FS54,Greenvale,nonInc,11,37,68.5,10.97,4,81,81
WESTERN D2,54,FS54,Greenvale,emInc,54,37,68.5,10.97,4,81,81
WESTERN D1,57,FS57,Tarneit,nonInc,50,140,67,10.97,4,82,82
WESTERN D1,57,FS57,Tarneit,emInc,209,140,67,10.97,4,82,82
WESTERN D3,61,FS61,Lara,nonInc,7,38,66.7,10.42,4,83,83
WESTERN D3,61,FS61,Lara,emInc,57,38,66.7,10.42,4,83,83
WESTERN D2,55,FS55,Caroline Springs,nonInc,37,103,65.2,9.98,4,84,84
WESTERN D2,55,FS55,Caroline Springs,emInc,158,103,65.2,9.98,4,84,84
WESTERN D1,59,FS59,Derrimut,nonInc,17,70,64.8,9.33,4,85,85
WESTERN D1,59,FS59,Derrimut,emInc,108,70,64.8,9.33,4,85,85
